LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 38, 1.7, 0, 21334036, 12.7, 12.9, 3, 988, 121, 148, 274, 77292, 6, 6, 8.3, 
Auburn, 44, 3.3, 2898, 31785675, 13.8, 14.3, 2, 894, 3527, 1240, 1239, 199253, 7, 7, 10.1, 
Bankstown, 103, 1.9, 1677, 102781526, 17.6, 18.7, 10, 9587, 5806, 885, 1578, 438752, 58, 55, 6.3, 
Botany Bay, 30, 0.5, 0, 19730931, 13.2, 13.6, 1, 2348, 378, 115, 194, 54723, 9, 8, 8.0, 
Burwood, 60, 1.3, 645, 16588463, 14.7, 15.4, 0, 6, 1036, 108, 221, 64264, 6, 5, 5.8, 
Canada Bay, 60, 1.6, 467, 45710179, 15.3, 16.0, 2, 334, 1502, 292, 569, 174001, 44, 38, 7.3, 
Canterbury, 84, 1.9, 0, 69230193, 14.1, 14.5, 0, 55, 1313, 483, 861, 243353, 2, 1, 11.0, 
Cessnock, 30, 0.9, 1, 38103334, 19.7, 21.7, 12, 7472, 4162, 511, 1170, 330552, 0, 0, 0.0, 
Gosford, 106, 2.1, 156, 120875397, 17.4, 18.2, 10, 3288, 8251, 2123, 3728, 1073127, 6, 5, 6.5, 
Hornsby, 127, 1.1, 47, 105037948, 20.4, 21.2, 7, 1728, 6772, 1479, 2730, 761903, 14, 12, 7.9, 
Hunters Hill, 22, 1.1, 0, 9538878, 21.1, 22.3, 0, 13, 142, 64, 137, 39973, 15, 12, 3.8, 
Hurstville, 44, 2.8, 0, 45631381, 16.0, 16.5, 4, 681, 2963, 503, 958, 266159, 14, 13, 5.8, 
Kogarah, 37, 3.5, 0, 32411489, 16.2, 17.0, 0, 3441, 724, 282, 516, 139702, 7, 5, 8.6, 
Ku-ring-gai, 163, 1.0, 4650, 93812332, 25.8, 26.3, 7, 702, 7110, 733, 1418, 403339, 16, 12, 7.6, 
Lake Macquarie, 200, 2.6, 67, 135741109, 18.9, 20.0, 8, 2231, 9438, 2675, 5264, 1654590, 18, 17, 9.4, 
Lane Cove, 28, 0.9, 0, 20993314, 16.7, 17.6, 0, 9, 840, 184, 386, 108838, 7, 6, 10.9, 
Leichhardt, 28, 1.6, 0, 30999366, 13.4, 13.3, 3, 841, 263, 274, 485, 128540, 15, 15, 5.8, 
Maitland, 84, 1.2, 91, 47438686, 19.7, 21.6, 11, 1545, 1265, 674, 1497, 452397, 17, 16, 7.2, 
Manly, 18, 1.0, 0, 26340784, 15.0, 15.3, 2, 189, 232, 224, 465, 135174, 51, 41, 7.0, 
Marrickville, 53, 3.2, 0, 39007646, 11.8, 12.2, 0, 9, 3766, 360, 636, 182150, 11, 10, 7.5, 
Mosman, 62, 1.2, 0, 22951298, 18.2, 18.5, 1, 46, 147, 94, 187, 53068, 25, 24, 7.0, 
Muswellbrook, 12, 2.8, 0, 12047202, 20.8, 23.7, 10, 816, 3727, 105, 332, 84278, 0, 0, 0.0, 
Newcastle, 197, 2.1, 4309, 91862810, 15.0, 15.7, 9, 4290, 7674, 1861, 3505, 1171419, 46, 44, 12.3, 
North Sydney, 47, 1.1, 0, 42601657, 12.6, 12.7, 3, 62, 1347, 110, 215, 66859, 11, 10, 5.9, 
Pittwater, 25, 1.2, 0, 41327495, 18.8, 19.5, 3, 4313, 474, 633, 1277, 392101, 14, 11, 8.4, 
Port Stephens, 96, 1.3, 113, 48955252, 17.5, 18.9, 10, 3792, 4631, 949, 1855, 608902, 4, 2, 6.5, 
Randwick, 81, 2.5, 967, 71058628, 13.4, 13.7, 6, 2741, 4297, 430, 881, 265697, 42, 35, 7.2, 
Rockdale, 78, 3.3, 0, 52484114, 14.1, 14.8, 3, 688, 544, 388, 707, 209732, 1, 0, 7.0, 
Ryde, 127, 1.0, 953, 60512498, 15.5, 16.2, 2, 1785, 4735, 627, 1088, 304361, 15, 9, 8.5, 
Singleton, 23, 0.0, 0, 19879840, 23.8, 26.5, 15, 2, 2502, 174, 520, 158526, 0, 0, 0.0, 
Strathfield, 35, 2.1, 2084, 19281268, 15.8, 16.9, 1, 18, 1463, 102, 191, 47291, 16, 16, 9.1, 
Sutherland, 105, 2.9, 0, 156777189, 20.3, 21.2, 1, 7159, 7226, 1579, 3061, 879305, 158, 140, 6.6, 
Sydney, 138, 2.9, 1020, 99211688, 11.3, 11.5, 8, 4324, 3998, 234, 446, 124390, 14, 7, 10.4, 
Upper Hunter, 5, 0.7, 0, 10868547, 22.1, 24.7, 12, 0, 2759, 88, 288, 87266, 0, 0, 0.0, 
Warringah, 68, 1.1, 91, 90111404, 17.1, 17.5, 7, 1785, 5069, 1334, 2615, 834821, 36, 25, 8.7, 
Waverley, 42, 2.5, 455, 42380818, 14.0, 14.0, 5, 388, 1078, 222, 458, 130345, 11, 10, 9.4, 
Willoughby, 31, 1.1, 0, 40158108, 15.7, 16.4, 4, 2636, 1199, 358, 732, 210615, 6, 3, 14.0, 
Woollahra, 71, 2.9, 0, 50576344, 20.1, 20.3, 1, 2812, 813, 104, 233, 68642, 5, 1, 8.4, 
Wyong, 110, 1.7, 2111, 100846043, 16.8, 17.9, 6, 6779, 4790, 2285, 3858, 1247410, 20, 16, 10.5, 
Total Network, 2712, 1.8, 22802, 2126984869, 16.5, 17.2, 189, 80797, 118084, 25034, 46774, 13873110, 747, 637, 7.3, 
