LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 34, 3.7, 0, 19066244, 11.4, 12.4, 1, 7, 680, 383, 777, 208291, 19, 19, 5.6, 
Auburn, 176, 2.1, 0, 29152861, 12.3, 14.1, 1, 847, 642, 2105, 2672, 550634, 2, 2, 8.0, 
Bankstown, 277, 2.6, 0, 95581756, 16.1, 18.2, 7, 3822, 4342, 2739, 5297, 1385860, 56, 56, 5.4, 
Botany Bay, 40, 1.3, 0, 18234406, 12.2, 13.1, 2, 44, 1601, 335, 674, 187594, 2, 2, 6.0, 
Burwood, 48, 1.8, 0, 15139448, 13.2, 15.0, 2, 80, 254, 367, 776, 216029, 10, 10, 6.3, 
Canada Bay, 62, 2.3, 0, 40995689, 13.6, 15.3, 1, 260, 2440, 738, 1573, 419769, 57, 57, 5.8, 
Canterbury, 112, 2.3, 0, 64925951, 13.0, 14.2, 0, 93, 4160, 1512, 2888, 793935, 9, 9, 6.7, 
Cessnock, 75, 5.1, 0, 34497718, 17.7, 20.7, 6, 1839, 4186, 1204, 2921, 817105, 2, 2, 4.0, 
Gosford, 120, 3.5, 2258, 112946756, 16.2, 17.7, 7, 2521, 4382, 4521, 8899, 2556642, 1, 1, 1.0, 
Hornsby, 212, 1.2, 944, 91184842, 17.8, 19.8, 6, 790, 2435, 3232, 6368, 1689888, 20, 20, 6.8, 
Hunters Hill, 35, 1.3, 658, 10166578, 20.6, 23.7, 0, 669, 48, 152, 377, 102646, 4, 4, 7.5, 
Hurstville, 97, 2.6, 0, 41167007, 14.5, 16.0, 3, 1172, 1092, 1264, 2501, 694672, 4, 4, 7.8, 
Kogarah, 51, 3.1, 431, 31676587, 15.2, 17.0, 4, 1716, 1105, 694, 1382, 409064, 3, 3, 3.0, 
Ku-ring-gai, 251, 1.0, 0, 84442683, 22.8, 25.5, 8, 2708, 6036, 1539, 3279, 826949, 16, 16, 6.7, 
Lake Macquarie, 413, 2.9, 4544, 122025206, 16.9, 19.0, 17, 3746, 4927, 5966, 12709, 3843540, 10, 10, 4.7, 
Lane Cove, 41, 1.1, 705, 19535271, 15.5, 17.6, 1, 82, 116, 377, 852, 226503, 7, 7, 5.1, 
Leichhardt, 52, 2.1, 0, 27594408, 12.0, 12.8, 1, 2373, 1191, 537, 1078, 288729, 13, 13, 5.1, 
Maitland, 117, 1.5, 0, 44080601, 17.7, 21.2, 13, 2690, 3809, 1681, 3826, 1122144, 1, 1, 6.0, 
Manly, 31, 2.1, 0, 24447336, 13.9, 14.9, 2, 2902, 1386, 438, 930, 265001, 21, 21, 10.9, 
Marrickville, 114, 3.2, 0, 35832064, 10.7, 11.5, 4, 2824, 1525, 823, 1642, 443816, 27, 27, 4.7, 
Mosman, 71, 1.3, 0, 20909133, 16.7, 18.2, 2, 484, 2860, 203, 503, 132521, 15, 15, 6.3, 
Muswellbrook, 16, 1.4, 0, 12066342, 19.6, 23.8, 5, 66, 1130, 220, 755, 267500, 0, 0, 0.0, 
Newcastle, 237, 3.4, 0, 84488179, 13.8, 15.4, 9, 967, 6214, 3873, 8038, 2598684, 27, 27, 5.9, 
North Sydney, 54, 1.7, 0, 37704997, 11.2, 12.0, 3, 843, 1189, 216, 468, 120844, 16, 16, 5.8, 
Pittwater, 64, 1.4, 0, 40503295, 18.1, 19.4, 3, 1306, 1180, 1092, 2388, 729937, 4, 4, 5.8, 
Port Stephens, 109, 4.9, 0, 50153169, 17.2, 19.4, 1, 12, 3934, 2246, 4814, 1593759, 3, 3, 8.3, 
Randwick, 193, 2.5, 0, 68431062, 12.6, 13.3, 2, 594, 3452, 1042, 2270, 711431, 60, 60, 6.0, 
Rockdale, 190, 3.3, 600, 48649286, 13.1, 14.0, 0, 76, 2823, 998, 1896, 525558, 9, 9, 4.9, 
Ryde, 158, 1.2, 2207, 56393121, 14.4, 16.1, 3, 5573, 1389, 1550, 2971, 815867, 21, 21, 5.3, 
Singleton, 3, 0.5, 0, 18665142, 22.1, 26.8, 6, 0, 1010, 493, 1569, 487331, 0, 0, 0.0, 
Strathfield, 112, 2.3, 0, 18040566, 14.8, 17.0, 1, 929, 350, 394, 855, 221438, 17, 17, 5.2, 
Sutherland, 338, 2.7, 6811, 144691171, 18.6, 20.3, 5, 1808, 2548, 3494, 7332, 2184345, 50, 50, 5.7, 
Sydney, 220, 2.6, 2800, 92780522, 10.4, 11.4, 4, 5479, 4600, 480, 1081, 287482, 18, 18, 5.3, 
Upper Hunter, 1, 0.0, 0, 9319442, 19.1, 22.2, 8, 177, 1726, 188, 672, 236425, 0, 0, 0.0, 
Warringah, 102, 1.4, 0, 81596308, 15.5, 16.5, 1, 2412, 4029, 2583, 5472, 1571911, 17, 17, 7.6, 
Waverley, 116, 2.4, 0, 38077099, 12.7, 13.3, 1, 1796, 2175, 399, 851, 246857, 11, 11, 5.0, 
Willoughby, 65, 1.5, 0, 39669569, 14.9, 16.4, 0, 7, 1610, 792, 1714, 502619, 15, 15, 5.6, 
Woollahra, 117, 3.0, 1448, 45161907, 18.1, 19.5, 2, 412, 1277, 217, 566, 156857, 2, 2, 2.5, 
Wyong, 129, 1.9, 0, 93041234, 15.5, 17.0, 6, 2369, 4368, 4458, 8366, 2540513, 19, 19, 6.0, 
Total Network, 4653, 2.4, 23406, 1963034958, 15.1, 16.6, 148, 56495, 94221, 55545, 114002, 32980692, 588, 588, 5.9, 
