LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 129, 5.2, 0, 18324272, 11.1, 11.4, 0, 269, 1237, 460, 962, 238700, 10, 10, 9.8, 
Auburn, 129, 9.2, 0, 29228990, 12.1, 12.3, 2, 250, 2300, 2512, 3814, 721256, 14, 14, 7.1, 
Bankstown, 237, 9.8, 2119, 94019666, 16.0, 16.1, 5, 243, 3598, 4061, 8820, 1922799, 27, 27, 6.6, 
Botany Bay, 147, 12.0, 19, 17781357, 11.9, 12.2, 2, 2006, 446, 456, 1069, 230795, 9, 9, 4.7, 
Burwood, 107, 5.3, 0, 14574598, 12.8, 13.2, 1, 12, 546, 478, 1087, 267895, 7, 7, 5.3, 
Canada Bay, 78, 5.7, 0, 40984661, 13.2, 13.6, 2, 221, 2935, 946, 2122, 530094, 37, 37, 7.9, 
Canterbury, 167, 6.9, 0, 62267955, 12.7, 13.0, 0, 540, 2776, 2152, 4475, 1060250, 5, 5, 6.0, 
Cessnock, 71, 5.1, 0, 35513310, 18.1, 17.7, 6, 1262, 5455, 1831, 4740, 1103662, 0, 0, 0.0, 
Gosford, 217, 4.9, 1256, 110723373, 16.0, 16.2, 7, 568, 7187, 5474, 11225, 2929189, 8, 8, 4.8, 
Hornsby, 312, 1.7, 1817, 88880506, 17.5, 17.8, 1, 1362, 6788, 3998, 8459, 2080330, 39, 39, 5.4, 
Hunters Hill, 36, 2.7, 0, 9909178, 20.9, 20.5, 1, 23, 72, 180, 460, 107769, 8, 8, 12.3, 
Hurstville, 133, 7.4, 108, 40234695, 14.3, 14.5, 2, 0, 2441, 1670, 3489, 887289, 6, 6, 4.5, 
Kogarah, 55, 8.5, 1820, 30524761, 15.1, 15.2, 0, 0, 1384, 916, 1951, 492023, 4, 4, 4.3, 
Ku-ring-gai, 450, 1.5, 2035, 81738092, 22.0, 22.8, 0, 4244, 3665, 1842, 4157, 964212, 15, 15, 6.5, 
Lake Macquarie, 270, 4.6, 4624, 120233753, 16.8, 17.0, 9, 2202, 10708, 7722, 17600, 4717030, 13, 13, 6.3, 
Lane Cove, 87, 2.1, 0, 19581515, 15.8, 15.6, 0, 280, 588, 449, 1072, 261570, 20, 20, 7.7, 
Leichhardt, 165, 5.3, 5, 26389457, 11.6, 12.0, 3, 481, 654, 644, 1412, 336030, 21, 21, 7.3, 
Maitland, 303, 3.2, 0, 46180121, 18.2, 17.7, 5, 1505, 3549, 2303, 5580, 1421222, 8, 8, 2.6, 
Manly, 43, 2.7, 120, 23885397, 13.7, 14.0, 1, 763, 818, 514, 1134, 300345, 12, 12, 10.0, 
Marrickville, 172, 13.8, 25, 34508100, 10.5, 10.7, 1, 83, 4459, 1052, 2474, 544545, 24, 24, 9.9, 
Mosman, 124, 2.0, 0, 20348096, 16.5, 16.8, 0, 0, 449, 239, 629, 148404, 11, 11, 10.5, 
Muswellbrook, 16, 3.5, 0, 12851490, 21.0, 19.6, 5, 625, 2330, 358, 1226, 352981, 22, 22, 8.2, 
Newcastle, 334, 3.3, 0, 83387583, 13.7, 13.8, 4, 441, 14607, 4871, 10724, 3043181, 35, 35, 4.1, 
North Sydney, 72, 2.2, 0, 36436625, 10.9, 11.2, 1, 281, 979, 263, 641, 156765, 7, 7, 9.3, 
Pittwater, 77, 2.2, 0, 39030899, 17.7, 18.1, 0, 0, 1644, 1253, 2875, 782335, 10, 10, 5.3, 
Port Stephens, 247, 3.9, 0, 49272493, 17.3, 17.2, 2, 4562, 4695, 2903, 6756, 1850709, 3, 3, 3.0, 
Randwick, 287, 12.5, 1836, 65140265, 12.2, 12.6, 0, 299, 1893, 1292, 2937, 801710, 67, 67, 8.8, 
Rockdale, 190, 9.4, 2714, 47088547, 12.6, 13.1, 0, 158, 5633, 1333, 2685, 688091, 6, 6, 7.8, 
Ryde, 164, 1.9, 0, 55439603, 14.2, 14.3, 1, 2323, 2114, 1936, 4069, 980039, 13, 13, 6.5, 
Singleton, 14, 1.0, 0, 19245977, 23.1, 22.0, 9, 1224, 2867, 741, 2560, 644989, 0, 0, 0.0, 
Strathfield, 87, 7.5, 0, 17975623, 14.8, 14.8, 0, 3, 2159, 509, 1155, 273535, 17, 17, 7.1, 
Sutherland, 194, 10.3, 0, 140104781, 18.3, 18.6, 3, 33, 6083, 4392, 9983, 2572622, 115, 115, 6.0, 
Sydney, 293, 13.5, 2295, 90847370, 10.2, 10.5, 4, 760, 7101, 586, 1658, 324303, 37, 37, 7.4, 
Upper Hunter, 11, 2.1, 0, 9663961, 19.8, 19.2, 12, 1503, 1390, 310, 1075, 323024, 0, 0, 0.0, 
Warringah, 138, 2.4, 2114, 77980809, 14.9, 15.5, 2, 897, 6831, 2991, 6580, 1798045, 23, 23, 8.7, 
Waverley, 105, 11.1, 378, 36616228, 12.3, 12.7, 2, 1335, 2824, 472, 1070, 281217, 18, 18, 6.8, 
Willoughby, 58, 1.7, 192, 38001049, 14.6, 14.8, 0, 226, 1455, 957, 2346, 570913, 5, 5, 9.4, 
Woollahra, 124, 13.3, 0, 43900932, 17.8, 18.2, 0, 0, 3434, 269, 738, 175802, 6, 6, 14.2, 
Wyong, 257, 5.1, 764, 91605215, 15.3, 15.5, 4, 807, 3439, 5778, 11535, 3137798, 20, 20, 3.6, 
Total Network, 6100, 6.1, 24241, 1920421302, 14.8, 15.0, 97, 31791, 133533, 71113, 157343, 40023468, 702, 702, 7.0, 
