LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 56, 3.4, 1167, 18109472, 10.7, 11.4, 0, 32, 3457, 483, 1026, 305449, , , , 
Auburn, 64, 3.3, 0, 28490859, 11.4, 12.1, 4, 1183, 1949, 2526, 4260, 949474, , , , 
Bankstown, 121, 3.8, 0, 93447558, 15.5, 16.0, 6, 1422, 3745, 4340, 9861, 2633739, , , , 
Botany Bay, 33, 5.6, 2843, 17824972, 11.3, 12.0, 3, 768, 5069, 486, 1234, 299746, , , , 
Burwood, 45, 5.0, 1244, 14576389, 12.1, 12.9, 1, 1663, 2344, 500, 1153, 337595, , , , 
Canada Bay, 51, 5.6, 0, 41540250, 12.9, 13.7, 3, 5560, 1837, 996, 2314, 675054, , , , 
Canterbury, 97, 5.9, 679, 60702342, 12.1, 12.7, 3, 2564, 1735, 2273, 4897, 1380834, , , , 
Cessnock, 32, 9.8, 0, 35758081, 17.8, 18.6, 20, 707, 2034, 2071, 5817, 1538437, , , , 
Gosford, 138, 8.4, 0, 108660941, 15.4, 15.8, 14, 1143, 5727, 5880, 12823, 3876773, , , , 
Hornsby, 164, 2.1, 0, 90978782, 17.5, 18.4, 4, 985, 8125, 4270, 9456, 2726973, , , , 
Hunters Hill, 18, 2.7, 2562, 9361505, 19.1, 19.5, 1, 74, 169, 193, 500, 133883, , , , 
Hurstville, 79, 6.7, 0, 39731545, 13.7, 14.4, 8, 943, 1469, 1743, 3737, 1091796, , , , 
Kogarah, 23, 11.2, 0, 28995407, 14.0, 14.6, 1, 328, 1081, 983, 2205, 652905, , , , 
Ku-ring-gai, 232, 2.2, 0, 80118831, 20.9, 22.4, 7, 1927, 3499, 1983, 4731, 1246252, , , , 
Lake Macquarie, 180, 2.0, 1305, 121662509, 16.5, 17.2, 7, 5719, 6119, 8286, 19681, 6126013, , , , 
Lane Cove, 28, 1.9, 0, 19098630, 14.9, 15.3, 2, 62, 440, 490, 1229, 349382, , , , 
Leichhardt, 59, 5.8, 0, 26222960, 11.2, 11.9, 0, 2713, 4148, 707, 1547, 431475, , , , 
Maitland, 81, 2.7, 3661, 45154597, 17.1, 18.0, 12, 6903, 6560, 2621, 6667, 1959923, , , , 
Manly, 37, 4.7, 0, 23622111, 13.2, 13.7, 0, 0, 852, 557, 1318, 382773, , , , 
Marrickville, 84, 3.6, 0, 34719396, 10.2, 10.7, 3, 436, 1501, 1147, 2649, 716908, , , , 
Mosman, 68, 2.3, 14, 20451780, 16.2, 16.8, 2, 670, 202, 256, 701, 188429, , , , 
Muswellbrook, 15, 5.0, 0, 11892679, 18.7, 20.1, 15, 845, 816, 453, 1621, 505697, , , , 
Newcastle, 127, 2.6, 0, 81062612, 13.0, 13.6, 10, 1158, 5188, 5243, 12155, 3839139, , , , 
North Sydney, 72, 3.3, 0, 37522482, 10.8, 11.5, 1, 103, 1734, 281, 731, 189743, , , , 
Pittwater, 62, 2.1, 0, 37285699, 16.4, 17.2, 1, 345, 6696, 1332, 3158, 1008792, , , , 
Port Stephens, 75, 4.8, 1874, 46195157, 15.8, 16.3, 7, 1087, 5472, 3233, 7895, 2476841, , , , 
Randwick, 149, 5.1, 0, 64513261, 11.8, 12.2, 2, 223, 3081, 1398, 3332, 1015226, , , , 
Rockdale, 98, 7.0, 378, 47206380, 12.3, 12.9, 4, 627, 2958, 1403, 3025, 870135, , , , 
Ryde, 155, 2.6, 208, 53276185, 13.2, 13.9, 4, 1629, 2675, 2050, 4524, 1266253, , , , 
Singleton, 2, 0.3, 0, 18358158, 21.4, 22.7, 10, 1867, 3370, 909, 3066, 950849, , , , 
Strathfield, 65, 4.6, 0, 17184980, 13.6, 14.2, 1, 0, 1953, 542, 1319, 348178, , , , 
Sutherland, 159, 8.3, 0, 139856011, 17.8, 18.4, 1, 423, 6593, 4644, 10882, 3275838, , , , 
Sydney, 144, 5.5, 0, 88406949, 9.7, 10.1, 8, 3474, 12145, 682, 2224, 435789, , , , 
Upper Hunter, 6, 5.3, 542, 10365907, 20.8, 21.9, 10, 707, 2808, 381, 1369, 458490, , , , 
Warringah, 93, 2.5, 641, 78664575, 14.6, 15.4, 7, 3817, 3613, 3227, 7471, 2251431, , , , 
Waverley, 78, 5.0, 0, 36793151, 12.1, 12.7, 3, 231, 2879, 509, 1197, 335879, , , , 
Willoughby, 59, 2.3, 0, 36100619, 13.4, 14.2, 5, 1196, 2539, 1052, 2552, 752604, , , , 
Woollahra, 86, 6.1, 0, 44008084, 17.5, 18.3, 3, 641, 733, 308, 894, 220722, , , , 
Wyong, 132, 4.5, 3161, 93665496, 15.3, 15.6, 10, 165, 8761, 6168, 12858, 3981046, , , , 
Total Network, 3267, 4.3, 20279, 1901587300, 14.3, 14.9, 203, 54340, 136076, 76606, 178077, 52186464, , , , 
