LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 67, 3.4, 0, 27276915, 16.3, 16.3, 0, 0, 1044, 80, 150, 34943, 6, 6, 8.5, 
Auburn, 40, 3.6, 0, 38983562, 17.0, 17.5, 2, 644, 2711, 1107, 1004, 99297, 6, 6, 9.5, 
Bankstown, 148, 2.8, 2113, 128118489, 21.9, 22.2, 14, 5754, 3470, 461, 765, 156295, 70, 66, 7.3, 
Botany Bay, 49, 2.5, 0, 23627503, 15.9, 16.2, 4, 758, 247, 69, 107, 19905, 4, 4, 9.5, 
Burwood, 52, 2.2, 0, 21566678, 19.1, 19.1, 1, 257, 1144, 56, 117, 24754, 4, 3, 11.0, 
Canada Bay, 121, 2.4, 0, 52560854, 17.8, 17.5, 5, 5083, 2008, 189, 337, 67627, 31, 31, 7.1, 
Canterbury, 77, 2.3, 0, 89236012, 18.2, 18.3, 5, 721, 1988, 260, 449, 100023, 4, 3, 12.3, 
Cessnock, 72, 2.4, 0, 42546005, 22.2, 23.0, 13, 1421, 2133, 309, 670, 137289, 0, 0, 0.0, 
Gosford, 128, 1.4, 1256, 150214361, 21.6, 22.0, 10, 272, 8282, 1213, 2007, 427622, 10, 8, 5.0, 
Hornsby, 174, 1.1, 1817, 130833418, 25.5, 25.3, 5, 1244, 7033, 906, 1610, 324434, 26, 25, 5.5, 
Hunters Hill, 21, 1.1, 0, 14147182, 30.3, 28.7, 3, 1028, 578, 49, 96, 18983, 2, 2, 9.5, 
Hurstville, 84, 3.2, 108, 55810503, 19.6, 20.2, 4, 756, 1776, 290, 529, 106685, 6, 5, 5.8, 
Kogarah, 47, 2.6, 2590, 42783638, 21.4, 21.5, 2, 275, 4340, 158, 267, 64999, 6, 5, 11.0, 
Ku-ring-gai, 210, 1.3, 1972, 119610124, 33.1, 32.5, 2, 743, 7683, 480, 872, 179966, 21, 20, 8.9, 
Lake Macquarie, 290, 2.7, 48, 157298957, 22.0, 22.3, 17, 1167, 8363, 1636, 3088, 684663, 48, 46, 9.2, 
Lane Cove, 62, 0.7, 0, 29649389, 23.7, 22.7, 0, 0, 575, 119, 237, 43084, 5, 5, 9.2, 
Leichhardt, 68, 3.7, 5, 39479063, 17.1, 16.5, 1, 187, 452, 168, 276, 58896, 65, 57, 6.3, 
Maitland, 111, 1.3, 0, 52749921, 22.1, 22.8, 12, 1556, 1534, 375, 768, 176023, 3, 3, 13.7, 
Manly, 37, 0.9, 120, 34875957, 19.9, 19.2, 3, 1394, 365, 164, 306, 61201, 28, 24, 6.5, 
Marrickville, 118, 2.4, 0, 51370586, 15.6, 15.4, 3, 561, 1680, 248, 424, 85482, 13, 13, 8.6, 
Mosman, 132, 1.4, 0, 30262470, 24.0, 23.0, 1, 71, 121, 66, 123, 27518, 37, 36, 5.4, 
Muswellbrook, 6, 1.0, 0, 16216341, 28.1, 27.5, 4, 574, 2935, 56, 155, 24481, 0, 0, 0.0, 
Newcastle, 189, 2.4, 4449, 109708793, 17.9, 18.1, 8, 3097, 5414, 1179, 2047, 504915, 74, 73, 11.6, 
North Sydney, 94, 1.3, 0, 53692452, 15.9, 15.3, 2, 94, 1939, 86, 165, 34295, 24, 22, 6.8, 
Pittwater, 27, 0.9, 0, 54331984, 24.9, 24.7, 1, 6, 1098, 476, 883, 173485, 19, 19, 7.4, 
Port Stephens, 137, 1.7, 0, 61550105, 22.2, 22.6, 3, 2007, 1855, 534, 1019, 233395, 2, 2, 18.0, 
Randwick, 236, 2.7, 1836, 95508585, 18.1, 17.8, 6, 7157, 4294, 253, 498, 107490, 70, 64, 10.3, 
Rockdale, 106, 3.2, 1906, 63803832, 17.1, 17.3, 1, 236, 6913, 244, 408, 90822, 2, 2, 4.0, 
Ryde, 87, 0.9, 0, 80719031, 20.8, 20.6, 4, 304, 966, 380, 607, 128985, 7, 6, 11.0, 
Singleton, 2, 0.2, 0, 23438540, 28.2, 28.7, 12, 14, 3932, 102, 279, 55435, 0, 0, 0.0, 
Strathfield, 51, 2.3, 0, 25412846, 20.9, 20.6, 3, 852, 1696, 53, 96, 19966, 13, 12, 6.2, 
Sutherland, 221, 2.7, 0, 195923024, 25.4, 25.7, 7, 3098, 5765, 910, 1658, 364426, 101, 97, 7.4, 
Sydney, 286, 2.2, 693, 121921455, 13.9, 13.6, 8, 2055, 5567, 142, 236, 48215, 19, 19, 8.5, 
Upper Hunter, 1, 2.0, 0, 12502649, 25.6, 25.9, 14, 278, 2284, 40, 109, 29204, 0, 0, 0.0, 
Warringah, 120, 1.7, 2189, 109767213, 20.9, 20.6, 5, 2761, 10827, 930, 1677, 372934, 48, 44, 7.7, 
Waverley, 123, 2.5, 378, 53274470, 17.7, 17.2, 0, 39, 632, 131, 268, 58250, 17, 16, 9.4, 
Willoughby, 64, 0.8, 17, 57844235, 22.6, 21.7, 5, 915, 927, 244, 465, 92589, 3, 1, 14.7, 
Woollahra, 177, 2.4, 0, 62331667, 24.8, 23.8, 2, 2451, 1751, 70, 152, 36834, 6, 4, 9.0, 
Wyong, 160, 2.1, 778, 121000118, 20.3, 20.4, 7, 10114, 5435, 1537, 2407, 528255, 13, 13, 10.5, 
Total Network, 4195, 2.0, 22275, 2651948927, 20.6, 20.5, 199, 59944, 121757, 15770, 27327, 5803662, 813, 762, 8.0, 
