LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 68, 2.2, 370, 24117266, 14.5, 14.9, 4, 186, 945, 314, 633, 121731, 4, 4, 8.8, 
Auburn, 74, 2.2, 0, 34898953, 15.1, 15.5, 4, 1284, 1814, 1937, 2353, 330801, 4, 3, 8.3, 
Bankstown, 156, 2.5, 0, 119208433, 20.5, 20.7, 18, 10493, 6413, 2149, 4084, 754236, 54, 45, 8.6, 
Botany Bay, 44, 2.3, 2356, 21681209, 14.6, 15.1, 1, 556, 916, 285, 570, 109251, 8, 8, 12.6, 
Burwood, 39, 1.7, 372, 19625982, 17.5, 17.8, 4, 1361, 217, 305, 648, 125234, 6, 5, 7.3, 
Canada Bay, 66, 2.2, 0, 53285592, 17.9, 18.2, 2, 1317, 1933, 624, 1317, 245314, 33, 30, 9.0, 
Canterbury, 153, 2.2, 102, 77588382, 16.0, 16.2, 3, 1292, 2111, 1187, 2252, 434009, 31, 30, 9.2, 
Cessnock, 115, 4.8, 0, 41112932, 21.3, 21.9, 12, 708, 2868, 949, 2338, 518476, 0, 0, 0.0, 
Gosford, 138, 2.7, 0, 133970846, 19.4, 19.8, 18, 4362, 4791, 3977, 7716, 1528514, 3, 3, 11.0, 
Hornsby, 207, 1.9, 1928, 124250012, 24.3, 24.7, 11, 3515, 7566, 2889, 5641, 1049836, 28, 25, 8.3, 
Hunters Hill, 32, 1.6, 0, 12232632, 26.3, 25.9, 1, 63, 1108, 132, 323, 50891, 4, 4, 8.3, 
Hurstville, 58, 1.7, 0, 50091125, 17.7, 18.3, 4, 2913, 2586, 1080, 2131, 436111, 5, 4, 6.0, 
Kogarah, 27, 2.6, 0, 36830539, 18.5, 18.7, 3, 112, 1804, 596, 1166, 227842, 2, 2, 9.5, 
Ku-ring-gai, 357, 1.7, 1222, 106747610, 29.2, 30.0, 12, 3184, 2743, 1359, 2862, 519923, 21, 20, 10.3, 
Lake Macquarie, 262, 1.5, 0, 148505027, 20.8, 21.4, 12, 2971, 8307, 5103, 10778, 2392699, 27, 26, 6.0, 
Lane Cove, 46, 2.1, 0, 27077438, 21.7, 21.7, 1, 1936, 1726, 334, 730, 121649, 10, 10, 11.1, 
Leichhardt, 69, 2.6, 3064, 36294462, 15.8, 16.1, 5, 807, 563, 467, 931, 164101, 4, 4, 2.3, 
Maitland, 159, 1.6, 2273, 49531982, 20.5, 21.2, 15, 2590, 3593, 1391, 3176, 714202, 1, 1, 19.0, 
Manly, 53, 2.1, 0, 32606531, 18.7, 18.8, 1, 1193, 1108, 389, 828, 162310, 24, 19, 12.0, 
Marrickville, 108, 2.9, 9, 48187497, 14.7, 14.9, 2, 186, 2338, 693, 1389, 240722, 7, 7, 12.6, 
Mosman, 133, 1.8, 0, 28944676, 23.2, 23.4, 3, 831, 397, 184, 448, 64131, 35, 26, 11.2, 
Muswellbrook, 8, 2.0, 0, 13779372, 23.5, 24.1, 5, 845, 1782, 167, 557, 158661, 0, 0, 0.0, 
Newcastle, 245, 2.0, 0, 100590553, 16.5, 17.0, 6, 8122, 9300, 3413, 6985, 1621140, 80, 73, 9.3, 
North Sydney, 71, 3.2, 0, 52995604, 15.8, 16.0, 1, 947, 1797, 187, 395, 69003, 8, 6, 9.9, 
Pittwater, 44, 2.8, 1886, 47642294, 21.8, 21.9, 1, 1788, 2603, 1002, 2191, 432111, 2, 2, 24.0, 
Port Stephens, 157, 6.2, 2386, 53767570, 19.3, 19.8, 7, 622, 5281, 1918, 4062, 896574, 1, 1, 15.0, 
Randwick, 137, 3.4, 18, 83734958, 15.9, 16.1, 1, 1046, 3404, 899, 1936, 369772, 128, 121, 12.0, 
Rockdale, 96, 3.0, 56, 61198201, 16.6, 17.0, 4, 3889, 1222, 838, 1584, 307336, 0, 0, 0.0, 
Ryde, 137, 2.0, 0, 69468149, 17.9, 18.2, 7, 1882, 3804, 1362, 2587, 494214, 30, 29, 8.8, 
Singleton, 12, 0.7, 0, 20936282, 25.2, 25.6, 15, 3, 3608, 383, 1241, 304411, 1, 0, 1.0, 
Strathfield, 56, 2.6, 0, 23121122, 19.1, 19.1, 4, 42, 527, 319, 676, 102463, 16, 16, 7.1, 
Sutherland, 219, 2.7, 0, 177360581, 23.2, 23.5, 5, 1794, 5928, 3082, 6431, 1260515, 91, 77, 7.7, 
Sydney, 224, 2.0, 14, 111534071, 12.7, 13.1, 9, 3834, 5490, 417, 946, 162806, 9, 7, 9.4, 
Upper Hunter, 5, 1.3, 0, 11968861, 24.6, 25.0, 14, 18, 3269, 158, 568, 145626, 0, 0, 0.0, 
Warringah, 128, 1.8, 646, 103227105, 19.7, 20.2, 12, 4584, 3034, 2334, 4916, 1008961, 11, 9, 13.8, 
Waverley, 67, 2.2, 0, 48736718, 16.3, 16.7, 3, 740, 771, 355, 755, 148350, 84, 80, 10.2, 
Willoughby, 89, 2.3, 0, 49282662, 19.2, 19.1, 1, 5871, 2884, 698, 1510, 282378, 4, 4, 8.0, 
Woollahra, 153, 2.2, 0, 60758252, 24.4, 24.6, 0, 29, 1958, 189, 460, 78193, 23, 22, 9.1, 
Wyong, 142, 3.0, 3152, 115079483, 19.3, 19.7, 11, 1207, 8199, 3946, 7289, 1558554, 14, 12, 7.4, 
Total Network, 4354, 2.4, 19854, 2431970964, 18.9, 19.3, 242, 79123, 120708, 48011, 97402, 19713051, 813, 735, 9.6, 
